iter;dataset;cls;method;param;value;score
2;DahnaLoanApplication_prepared;xgboost;cluster_index;colsample_bytree;0.5968936347675258;0.8350317649682801
2;DahnaLoanApplication_prepared;xgboost;cluster_index;learning_rate;0.8323773968428885;0.8350317649682801
2;DahnaLoanApplication_prepared;xgboost;cluster_index;max_depth;25;0.8350317649682801
2;DahnaLoanApplication_prepared;xgboost;cluster_index;min_child_weight;3;0.8350317649682801
2;DahnaLoanApplication_prepared;xgboost;cluster_index;n_clusters;47;0.8350317649682801
2;DahnaLoanApplication_prepared;xgboost;cluster_index;subsample;0.6070570024155777;0.8350317649682801
2;DahnaLoanApplication_prepared;xgboost;cluster_index;processing_time;1112.2265183925629;0
3;DahnaLoanApplication_prepared;xgboost;cluster_index;colsample_bytree;0.9871486702232187;0.8472387775061163
3;DahnaLoanApplication_prepared;xgboost;cluster_index;learning_rate;0.6512146850071111;0.8472387775061163
3;DahnaLoanApplication_prepared;xgboost;cluster_index;max_depth;8;0.8472387775061163
3;DahnaLoanApplication_prepared;xgboost;cluster_index;min_child_weight;6;0.8472387775061163
3;DahnaLoanApplication_prepared;xgboost;cluster_index;n_clusters;42;0.8472387775061163
3;DahnaLoanApplication_prepared;xgboost;cluster_index;subsample;0.9404208374384888;0.8472387775061163
3;DahnaLoanApplication_prepared;xgboost;cluster_index;processing_time;1064.0493443012238;0
4;DahnaLoanApplication_prepared;xgboost;cluster_index;colsample_bytree;0.7789829669661055;0.8542733636827765
4;DahnaLoanApplication_prepared;xgboost;cluster_index;learning_rate;0.39996449297496417;0.8542733636827765
4;DahnaLoanApplication_prepared;xgboost;cluster_index;max_depth;17;0.8542733636827765
4;DahnaLoanApplication_prepared;xgboost;cluster_index;min_child_weight;2;0.8542733636827765
4;DahnaLoanApplication_prepared;xgboost;cluster_index;n_clusters;21;0.8542733636827765
4;DahnaLoanApplication_prepared;xgboost;cluster_index;subsample;0.6152112153578089;0.8542733636827765
4;DahnaLoanApplication_prepared;xgboost;cluster_index;processing_time;801.2125699520111;0
