iter;dataset;cls;method;param;value;score
2;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.7008749891809547;0.9090437396047167
2;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.027207340412136793;0.9090437396047167
2;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;8;0.9090437396047167
2;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;3;0.9090437396047167
2;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;25;0.9090437396047167
2;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.6945691699153862;0.9090437396047167
2;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;30.347801208496094;0
3;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.7866039999431886;0.6236125955384347
3;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.2767128486498238;0.6236125955384347
3;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;20;0.6236125955384347
3;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;3;0.6236125955384347
3;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;42;0.6236125955384347
3;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.5388565556527785;0.6236125955384347
3;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;49.83177137374878;0
4;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.5219661712428576;0.7372290453552687
4;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.5395914523379411;0.7372290453552687
4;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;15;0.7372290453552687
4;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;3;0.7372290453552687
4;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;31;0.7372290453552687
4;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.5242233849946272;0.7372290453552687
4;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;34.994643211364746;0
5;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.6447150337736055;0.5772658700640613
5;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.33448075423811063;0.5772658700640613
5;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;16;0.5772658700640613
5;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;4;0.5772658700640613
5;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;38;0.5772658700640613
5;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.6025514142792716;0.5772658700640613
5;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;43.110944747924805;0
6;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.621503352691388;0.9558618987184394
6;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.23277176203553074;0.9558618987184394
6;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;27;0.9558618987184394
6;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;3;0.9558618987184394
6;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;21;0.9558618987184394
6;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.7780578156013196;0.9558618987184394
6;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;34.31343674659729;0
7;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.9617998776404427;0.8414145629691655
7;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.2401691993797136;0.8414145629691655
7;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;23;0.8414145629691655
7;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;5;0.8414145629691655
7;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;16;0.8414145629691655
